timestamp,Close,High,Low,Open,Volume,metric
2018-06-29,6204.24,6299.0,5774.72,5845.2,12067.37316767,27.41063627
2018-06-30,6385.71,6510.0,6190.28,6204.01,6915.08887702,23.60409759
2018-07-01,6349.99,6438.55,6259.34,6385.75,4160.70556721,16.7928896
2018-07-02,6612.98,6667.57,6270.69,6345.48,8799.80247408,23.48063765
2018-07-03,6507.99,6666.0,6464.39,6605.46,5924.86541706,27.90259772
2018-07-04,6584.25,6792.28,6413.2,6507.99,6706.7340062,21.54452916
2018-07-05,6533.69,6700.0,6445.31,6575.62,7692.21577694,19.76600519
2018-07-06,6596.53,6636.15,6449.76,6533.69,5457.67218749,21.70281974
2018-07-07,6759.99,6820.0,6510.0,6604.74,4842.79587112,16.56969368
2018-07-08,6706.6,6783.54,6674.6,6755.46,5145.84575684,15.64479917
2018-07-09,6666.75,6814.72,6620.0,6706.6,7165.21723333,19.92606527
2018-07-10,6299.46,6683.9,6270.84,6666.75,9163.01977492,22.86071401
2018-07-11,6380.0,6400.0,6285.0,6304.45,6370.13680136,20.44250057
2018-07-12,6243.88,6380.0,6072.0,6379.13,7792.46685782,18.63321237
2018-07-13,6215.59,6337.25,6121.01,6243.53,5901.29571452,19.53514153
2018-07-14,6243.98,6317.84,6180.0,6208.78,2584.7339623,15.01264127
2018-07-15,6349.3,6397.21,6227.76,6245.99,3556.29310719,15.27821656
2018-07-16,6721.04,6755.0,6333.63,6353.25,9404.05647649,23.61292569
2018-07-17,7310.71,7468.31,6657.95,6721.21,12703.29651293,24.94209666
2018-07-18,7374.88,7599.98,7239.15,7310.71,13347.87637571,31.82668475
2018-07-19,7471.42,7570.9,7278.84,7384.92,8803.25309749,28.82741906
2018-07-20,7330.84,7696.88,7265.0,7474.35,9379.17143244,23.08779797
2018-07-21,7409.92,7458.0,7212.0,7330.84,4049.81022253,17.37819099
2018-07-22,7396.6,7581.03,7336.15,7398.16,5107.9788128,14.77231882
2018-07-23,7719.62,7800.0,7369.86,7393.5,12572.45317131,26.12072165
2018-07-24,8403.83,8496.96,7691.14,7712.46,18707.41156484,29.64295029
2018-07-25,8174.06,8475.0,8049.22,8394.48,10348.06857767,26.82417337
2018-07-26,7926.0,8314.23,7855.97,8174.06,8091.87166049,23.88022702
2018-07-27,8183.05,8274.98,7798.48,7926.0,8701.76587806,20.72404572
2018-07-28,8237.74,8259.0,8051.43,8177.72,2765.6804906,16.74880998
2018-07-29,8216.74,8299.99,8109.74,8231.07,3980.2794076,15.67077716
2018-07-30,8160.21,8295.0,7853.01,8216.74,11785.89207823,24.57789474
2018-07-31,7725.43,8162.37,7633.67,8162.28,11994.08614156,25.5829697
2018-08-01,7602.01,7761.56,7440.0,7726.85,11406.76843741,21.2832986
2018-08-02,7536.37,7709.98,7455.0,7600.22,5262.23613199,25.20903778
2018-08-03,7416.98,7542.92,7286.41,7535.0,9585.77930917,23.21487948
2018-08-04,7009.99,7494.48,6926.0,7416.98,6831.75139028,17.19453121
2018-08-05,7032.61,7086.8,6888.88,7009.94,6039.1351446,13.6299328
2018-08-06,6936.11,7157.93,6835.06,7028.89,7317.64296455,17.7504862
2018-08-07,6717.68,7155.0,6671.0,6932.18,10039.39296375,18.61533926
2018-08-08,6283.59,6717.68,6121.0,6717.67,14668.56802221,20.75086011
2018-08-09,6543.76,6627.0,6190.01,6283.89,9484.88670496,20.7502075
2018-08-10,6139.99,6584.05,5995.75,6544.98,14096.00988894,20.41451761
2018-08-11,6239.98,6494.13,6000.0,6139.99,6818.37504816,15.39050663
2018-08-12,6310.82,6493.77,6163.44,6240.49,7169.89323056,12.77525693
2018-08-13,6252.63,6544.37,6142.2,6311.99,8896.68083746,19.92080467
2018-08-14,6193.62,6254.02,5880.0,6252.63,14235.27018218,26.45582537
2018-08-15,6272.3,6628.5,6186.02,6194.3,12501.11334781,22.16329503
2018-08-16,6313.51,6477.57,6208.37,6273.34,7099.2611636,24.04769454
2018-08-17,6580.15,6584.49,6290.64,6314.08,6635.58158998,24.88424895
2018-08-18,6399.28,6615.0,6303.0,6578.13,3496.80232127,16.45331646
2018-08-19,6481.99,6545.0,6312.0,6397.37,3138.71131829,17.04586085
2018-08-20,6260.82,6522.99,6223.9,6481.63,6254.82080784,29.07233893
2018-08-21,6479.27,6513.28,6246.05,6260.83,5655.04172504,24.75227584
2018-08-22,6355.76,6906.81,6250.0,6478.99,11955.65069577,24.27418043
2018-08-23,6525.01,6575.99,6344.8,6355.97,4028.43387247,19.30837036
2018-08-24,6692.94,6721.09,6445.32,6525.99,6374.54257854,19.15356329
2018-08-25,6732.4,6800.0,6664.25,6692.99,4980.64928331,21.06312548
2018-08-26,6700.46,6775.34,6558.95,6732.99,3475.7202496,27.80300602
2018-08-27,6904.51,6944.47,6641.35,6700.13,5863.68824836,32.65580356
2018-08-28,7080.94,7125.28,6861.17,6911.7,8222.24765235,45.21346372
2018-08-29,7032.96,7124.06,6890.0,7079.46,5730.97892652,23.64752291
2018-08-30,6984.01,7055.97,6792.85,7034.47,6875.26197217,24.10101603
2018-08-31,7017.35,7101.03,6879.0,6984.34,5790.38050638,25.25628116
2018-09-01,7185.01,7300.18,7015.22,7015.78,4590.45724112,19.2117222
2018-09-02,7290.31,7334.5,7130.63,7195.8,3297.68658519,16.3033171
2018-09-03,7258.99,7340.08,7184.0,7291.94,2829.87707292,19.915982669999998
2018-09-04,7361.0,7411.85,7231.0,7261.29,4531.14780379,24.1065379
2018-09-05,6679.3,7387.0,6650.0,7353.48,12408.79698551,31.82732747
2018-09-06,6493.09,6705.59,6253.29,6671.95,14674.0236716,31.29006024
2018-09-07,6400.0,6525.0,6322.0,6488.01,6541.96747088,27.921949820000002
2018-09-08,6178.31,6465.46,6113.23,6401.01,4284.19484304,18.81937591
2018-09-09,6236.04,6451.51,6094.38,6178.31,4104.31379555,18.37028897
2018-09-10,6301.99,6351.13,6223.9,6238.99,5371.72530672,19.97514305
2018-09-11,6279.99,6405.0,6162.06,6303.99,7076.79725968,23.27470384
2018-09-12,6322.45,6350.0,6192.89,6274.6,4282.15960066,23.91441308
2018-09-13,6485.7,6537.46,6324.37,6326.83,6985.34747474,20.29803773
2018-09-14,6476.51,6587.0,6384.36,6482.95,4598.02098322,21.21893106
2018-09-15,6520.15,6570.1,6466.74,6476.51,1328.81956289,15.69995673
2018-09-16,6499.98,6524.84,6349.47,6521.49,1098.62806031,13.07015213
2018-09-17,6254.52,6530.24,6200.0,6499.28,4386.88772482,17.45767671
2018-09-18,6332.34,6390.0,6226.63,6251.49,4196.47314808,19.01368472
2018-09-19,6388.4,6510.0,6100.0,6330.0,7232.08338006,17.09335521
2018-09-20,6492.98,6535.11,6333.63,6388.4,5177.64510387,18.26192982
2018-09-21,6749.45,6775.34,6483.83,6492.98,8569.98587321,25.61259462
2018-09-22,6710.01,6826.28,6624.79,6748.85,5491.80951385,18.65597145
2018-09-23,6702.22,6774.91,6659.0,6710.01,3248.80491931,14.47737832
2018-09-24,6581.52,6721.68,6550.96,6703.37,4030.72562001,15.50844294
2018-09-25,6428.99,6579.59,6324.96,6578.7,8206.61700477,20.31737127
2018-09-26,6461.51,6540.0,6379.44,6428.09,4295.92674134,20.1338664
2018-09-27,6681.62,6736.85,6431.95,6454.32,5664.85211251,23.65350638
2018-09-28,6610.76,6792.28,6525.67,6684.5,7642.04936428,28.91825487
2018-09-29,6579.38,6609.02,6454.0,6609.02,3382.01592212,19.10685859
2018-09-30,6597.81,6628.06,6510.0,6574.29,2482.69507513,15.42794706
2018-10-01,6571.2,6638.15,6477.57,6597.79,4796.040132,21.82334691
2018-10-02,6500.0,6597.0,6447.28,6569.32,4116.13342419,25.72269107
2018-10-03,6456.77,6510.0,6396.34,6500.0,4774.76328174,21.36448501
2018-10-04,6547.56,6604.89,6450.58,6454.81,3832.70048916,18.70916379
2018-10-05,6582.12,6641.35,6510.0,6548.83,3807.26928181,21.33672301
2018-10-06,6544.08,6595.69,6526.28,6582.11,2022.78075908,17.57876392
2018-10-07,6577.63,6600.0,6493.92,6547.93,2455.65659087,13.06671747
2018-10-08,6604.75,6656.63,6541.06,6574.15,4079.04424933,16.79599849
2018-10-09,6588.8,6623.14,6553.13,6604.76,2254.95026959,16.66631934
2018-10-10,6517.55,6589.79,6387.91,6588.72,5177.06675956,15.6339373
2018-10-11,6152.76,6520.43,6055.28,6517.55,9616.23958351,18.4172056
2018-10-12,6185.15,6243.79,6109.79,6152.76,3246.3815572,18.44585713
2018-10-13,6199.69,6219.77,6168.83,6182.03,1954.04680593,13.28476496
2018-10-14,6183.0,6349.47,6143.08,6201.23,2525.73820085,12.41784997
2018-10-15,6441.74,6756.0,6149.28,6185.04,16895.88930388,23.09602031
2018-10-16,6461.2,6493.77,6386.4,6438.2,4703.09390629,19.31942675
2018-10-17,6437.29,6465.39,6407.69,6457.67,2961.26337446,18.8500803
2018-10-18,6396.18,6490.0,6350.0,6440.07,3823.16928503,18.05926167
2018-10-19,6383.46,6412.4,6355.99,6394.23,2290.0590117,17.65876226
2018-10-20,6412.86,6424.16,6363.02,6380.47,1261.97849549,14.32509812
2018-10-21,6413.38,6470.0,6401.01,6412.86,1541.01151749,12.46404029
2018-10-22,6406.06,6429.23,6372.53,6412.62,2407.5354618,16.6995118
2018-10-23,6393.41,6421.58,6354.26,6409.39,2851.00556658,16.58331992
2018-10-24,6411.96,6473.0,6393.0,6396.24,3535.33808825,16.94168952
2018-10-25,6393.53,6422.73,6361.73,6411.96,3046.60380599,17.53993992
2018-10-26,6406.1,6450.3,6377.81,6393.38,3323.82631782,17.91509911
2018-10-27,6407.66,6420.01,6381.25,6406.1,890.1271569,13.09651959
2018-10-28,6405.57,6420.0,6383.0,6407.66,839.29766473,16.5139359
2018-10-29,6266.52,6420.0,6208.37,6404.27,5190.82201499,19.6041759
2018-10-30,6269.46,6289.0,6240.0,6266.47,2523.57742936,18.77140942
2018-10-31,6303.27,6350.0,6199.25,6269.45,5148.08262352,16.65229276
2018-11-01,6340.99,6365.33,6288.01,6304.5,2190.97047686,17.45938887
2018-11-02,6350.43,6381.25,6328.33,6343.85,2678.06948097,18.32471846
2018-11-03,6335.0,6351.74,6312.48,6350.05,1084.13861953,13.59185156
2018-11-04,6421.76,6475.0,6310.57,6333.59,2673.81391399,12.83578294
2018-11-05,6403.2,6441.43,6369.89,6428.23,2335.48865475,18.68872972
2018-11-06,6447.5,6460.01,6378.24,6404.97,4270.33460011,19.18392815
2018-11-07,6501.0,6544.0,6442.47,6448.17,4800.82491273,20.33841084
2018-11-08,6405.49,6511.27,6388.88,6501.0,3966.97303181,20.99890399
2018-11-09,6325.0,6418.18,6307.0,6405.49,3218.12902607,22.42896582
2018-11-10,6349.32,6377.26,6323.0,6325.0,1523.39384996,16.64920253
2018-11-11,6357.54,6365.0,6269.46,6349.39,1718.26855567,14.13978687
2018-11-12,6318.0,6388.21,6298.5,6352.57,3526.03903239,19.17199757
2018-11-13,6260.91,6328.36,6244.35,6318.01,3630.56272124,18.07251239
2018-11-14,5595.91,6298.47,5324.0,6255.86,25121.93301356,25.82337117
2018-11-15,5585.0,5641.0,5199.8,5592.23,19945.90828161,38.65118054
2018-11-16,5508.71,5610.0,5411.74,5571.12,8074.6055758,36.92729384
2018-11-17,5503.36,5550.66,5452.63,5514.62,2732.79162871,21.55099415
2018-11-18,5559.26,5658.47,5500.0,5503.36,2576.4553201,18.03746701
2018-11-19,4735.44,5559.69,4694.44,5553.01,28910.66553331,39.9694861
2018-11-20,4352.0,4897.36,4048.58,4732.92,39775.38943928,69.36765011
2018-11-21,4538.01,4635.0,4242.33,4349.41,20678.25000596,49.95016009
2018-11-22,4275.23,4589.53,4194.98,4551.47,10258.46172893,39.13421764
2018-11-23,4288.26,4364.46,4061.02,4268.4,13322.77736822,36.98433712
2018-11-24,3785.65,4376.88,3638.48,4288.25,14236.74417437,31.17997638
2018-11-25,3938.89,4120.0,3474.73,3780.67,26969.94763424,32.01112732
2018-11-26,3727.34,4069.59,3522.28,3934.22,24357.88293934,38.27901151
2018-11-27,3771.01,3834.35,3548.76,3727.34,16814.00296565,37.38312649
2018-11-28,4220.16,4355.08,3771.0,3771.01,22983.71348838,38.73742361
2018-11-29,4249.8,4409.77,4086.97,4219.77,15944.01262628,45.07238045
2018-11-30,3971.06,4300.0,3861.0,4250.0,14364.62144791,40.77812171
2018-12-01,4140.39,4264.47,3904.34,3970.56,6412.23253743,31.11731237
2018-12-02,4102.05,4265.0,4030.0,4140.4,7019.16205825,23.24535308
2018-12-03,3834.34,4115.15,3747.0,4099.63,10726.6773046,31.12664818
2018-12-04,3903.52,4033.98,3730.0,3830.81,12249.9368879,31.50009203
2018-12-05,3696.69,3913.62,3662.35,3903.52,13443.22072621,26.31110179
2018-12-06,3437.26,3844.79,3415.22,3694.03,15480.96697218,28.47570217
2018-12-07,3380.68,3531.0,3210.0,3437.22,26513.2316249,31.19535557
2018-12-08,3398.8,3495.99,3241.0,3376.27,10176.34927433,19.7523634
2018-12-09,3529.75,3633.2,3371.09,3398.8,8011.02295177,16.83358837
2018-12-10,3408.0,3588.43,3355.0,3528.68,10375.26877055,22.97283382
2018-12-11,3353.42,3427.27,3292.65,3406.41,8951.71070828,23.31901099
2018-12-12,3430.18,3490.0,3325.7,3345.01,7284.10378196,22.35779149
2018-12-13,3262.73,3441.13,3221.14,3430.2,11715.01908312,22.08826418
2018-12-14,3195.75,3294.81,3135.55,3263.55,14437.50526664,25.09538231
2018-12-15,3179.54,3230.0,3122.28,3194.04,5814.86853241,18.37318136
2018-12-16,3193.78,3259.43,3178.23,3180.84,6033.50714633,14.84875261
