,Close,High,Low,Open,Volume,date,totalVolume_less_than_0_01,addressesCount_less_than_0_01,totalVolume_f_0_01_to_0_1,addressesCount_f_0_01_to_0_1,totalVolume_f_0_1_to_1_x,addressesCount_f_0_1_to_1_x,totalVolume_f_0_1_to_1_y,addressesCount_f_0_1_to_1_y,totalVolume_f_0_1_to_1,addressesCount_f_0_1_to_1,totalVolume_f_1_to_10,addressesCount_f_1_to_10,totalVolume_f_10_to_100,addressesCount_f_10_to_100,totalVolume_f_100_to_1000,addressesCount_f_100_to_1000,totalVolume_f_1000_to_10000,addressesCount_f_1000_to_10000,totalVolume_f_10000_to_100000,addressesCount_f_10000_to_100000
753,7955.08,8120.77,7811.62,8069.26,5611.09353737,2019-10-18,29163.20115558,19991544.0,156226.40409679,4838978.0,652025.46535879,2061736.0,652025.46535879,2061736.0,652025.46535879,2061736.0,1690322.90045063,633693.0,3026414.32095716,109366.0,3525592.93930506,13932.0,4806603.06139743,2039.0,2180531.10311196,106.0
754,7960.49,8096.76,7875.0,7950.48,3461.12529207,2019-10-19,29224.558276459997,20018856.0,156836.4414966,4860478.0,652198.95956822,2062214.0,652198.95956822,2062214.0,652198.95956822,2062214.0,1690757.19304696,633780.0,3027030.85880865,109402.0,3525026.7883339,13930.0,4807124.53372013,2039.0,2180455.06258248,106.0
755,8235.74,8314.77,7874.68,7965.39,6358.92499072,2019-10-20,29302.733338619997,20044762.0,157156.87437627,4871640.0,652388.4937042,2062413.0,652388.4937042,2062413.0,652388.4937042,2062413.0,1691370.41970766,634045.0,3027327.88889186,109456.0,3526767.73659665,13945.0,4805334.01516365,2037.0,2180831.23405449,106.0
756,8213.65,8352.0,8156.0,8236.49,4919.73416831,2019-10-21,29348.71501082,20072551.0,156957.38655135,4867578.0,652805.41046192,2063179.0,652805.41046192,2063179.0,652805.41046192,2063179.0,1691697.27015714,634202.0,3028912.07710768,109543.0,3521322.15860581,13933.0,4830780.34034761,2037.0,2160643.5349216,105.0
757,8025.9,8314.77,7989.15,8206.53,5678.93483059,2019-10-22,29431.016290479998,20091493.0,157082.45843272,4872050.0,652630.34924976,2062129.0,652630.34924976,2062129.0,652630.34924976,2062129.0,1692482.04897903,634464.0,3028185.55920365,109500.0,3517537.89366019,13915.0,4843462.07525264,2041.0,2149981.91940186,104.0
758,7470.77,8052.04,7293.55,8021.57,13306.18266092,2019-10-23,29442.00060045,20097958.0,157221.06949818,4873875.0,652175.50593649,2064343.0,652175.50593649,2064343.0,652175.50593649,2064343.0,1686650.97425615,632701.0,3022802.64673683,109246.0,3535950.22777938,14040.0,4839431.96579826,2037.0,2145959.00846005,104.0
759,7435.0,7512.0,7356.0,7470.77,4997.4230935,2019-10-24,29389.38378464,20111826.0,157234.01246526,4865487.0,651798.4849753,2065915.0,651798.4849753,2065915.0,651798.4849753,2065915.0,1684053.81936029,632082.0,3022697.59630457,109164.0,3563224.37611966,14139.0,4796376.05943033,2016.0,2165441.80889136,105.0
760,8662.66,8784.29,7393.14,7427.0,19113.79549622,2019-10-25,29376.11569959,20129222.0,157078.88280174,4858824.0,649384.34630443,2060586.0,649384.34630443,2060586.0,649384.34630443,2060586.0,1680892.8669163,630868.0,3027707.32476103,109129.0,3560146.19237884,14163.0,4816828.58551271,2025.0,2150526.22695677,104.0
761,9252.75,10350.0,8642.46,8677.09,38751.80025476,2019-10-26,29391.412160840002,20143118.0,156712.35435739,4852228.0,646520.1049466,2053222.0,646520.1049466,2053222.0,646520.1049466,2053222.0,1676731.12194273,629406.0,3035622.55953444,109204.0,3558871.45838606,14114.0,4819605.86523092,2028.0,2150719.27124677,104.0
762,9557.08,9819.92,9092.66,9262.72,17783.02515594,2019-10-27,29462.18918073,20172937.0,156900.48427629,4859737.0,644209.42016254,2047675.0,644209.42016254,2047675.0,644209.42016254,2047675.0,1675323.12657945,628922.0,3041290.53381103,109232.0,3554829.83309775,14082.0,4821511.15867797,2028.0,2150719.27124677,104.0
763,9216.44,9950.0,9177.84,9547.32,14722.01859796,2019-10-28,29462.08144731,20187196.0,156780.55504581,4857914.0,641927.6166868,2039699.0,641927.6166868,2039699.0,641927.6166868,2039699.0,1673794.96060256,628350.0,3046460.2771434,109332.0,3550184.78259958,14086.0,4829590.39677431,2030.0,2262014.68796836,106.0
